ds,usd
2017-08-11,59.9298
2017-08-12,60.1873
2017-08-13,60.05786666666667
2017-08-14,59.92843333333333
2017-08-15,59.799
2017-08-16,59.9266
2017-08-17,59.6521
2017-08-18,59.248999999999995
2017-08-19,59.3612
2017-08-20,59.28776666666666
2017-08-21,59.214333333333336
2017-08-22,59.1409
2017-08-23,59.0396
2017-08-24,59.1312
2017-08-25,59.1397
2017-08-26,59.1476
2017-08-27,58.94736666666667
2017-08-28,58.74713333333333
2017-08-29,58.5469
2017-08-30,58.532
2017-08-31,58.7306
2017-09-01,58.5454
2017-09-02,58.0557
2017-09-03,57.96436666666667
2017-09-04,57.87303333333333
2017-09-05,57.7817
2017-09-06,57.8503
2017-09-07,57.3387
2017-09-08,57.1411
2017-09-09,56.9966
2017-09-10,57.0542
2017-09-11,57.1118
2017-09-12,57.1694
2017-09-13,57.2656
2017-09-14,57.6679
2017-09-15,57.7706
2017-09-16,57.5336
2017-09-17,57.5638
2017-09-18,57.594
2017-09-19,57.6242
2017-09-20,58.0993
2017-09-21,58.129
2017-09-22,58.2242
2017-09-23,57.6527
2017-09-24,57.6238
2017-09-25,57.5949
2017-09-26,57.566
2017-09-27,57.5186
2017-09-28,58.0102
2017-09-29,58.4255
2017-09-30,58.0169
2017-10-01,57.94906666666667
2017-10-02,57.881233333333334
2017-10-03,57.8134
2017-10-04,57.9375
2017-10-05,57.7832
2017-10-06,57.5811
2017-10-07,57.7612
2017-10-08,57.94583333333333
2017-10-09,58.13046666666667
2017-10-10,58.3151
2017-10-11,58.0713
2017-10-12,57.92100000000001
2017-10-13,57.6869
2017-10-14,57.6196
2017-10-15,57.441766666666666
2017-10-16,57.263933333333334
2017-10-17,57.0861
2017-10-18,57.3392
2017-10-19,57.2721
2017-10-20,57.5706
2017-10-21,57.5118
2017-10-22,57.498066666666666
2017-10-23,57.48433333333333
2017-10-24,57.4706
2017-10-25,57.5852
2017-10-26,57.614
2017-10-27,57.7643
2017-10-28,58.0833
2017-10-29,58.01273333333334
2017-10-30,57.942166666666665
2017-10-31,57.8716
2017-11-01,58.1179
2017-11-02,58.1557
2017-11-03,58.0869
2017-11-04,58.4296
2017-11-05,58.436125000000004
2017-11-06,58.44265
2017-11-07,58.449175
2017-11-08,58.4557
2017-11-09,59.248000000000005
2017-11-10,59.2527
2017-11-11,59.2808
2017-11-12,59.24796666666666
2017-11-13,59.215133333333334
2017-11-14,59.1823
2017-11-15,59.6207
2017-11-16,60.248999999999995
2017-11-17,59.9898
2017-11-18,59.6325
2017-11-19,59.5132
2017-11-20,59.3939
2017-11-21,59.2746
2017-11-22,59.4604
2017-11-23,59.0061
2017-11-24,58.4622
2017-11-25,58.5318
2017-11-26,58.44696666666666
2017-11-27,58.36213333333333
2017-11-28,58.2773
2017-11-29,58.4125
2017-11-30,58.3311
2017-12-01,58.5814
2017-12-02,58.5182
2017-12-03,58.67583333333334
2017-12-04,58.833466666666666
2017-12-05,58.9911
2017-12-06,58.6924
2017-12-07,58.9281
2017-12-08,59.2948
2017-12-09,59.2811
2017-12-10,59.26566666666667
2017-12-11,59.250233333333334
2017-12-12,59.2348
2017-12-13,58.836999999999996
2017-12-14,59.1446
2017-12-15,58.7082
2017-12-16,58.8987
2017-12-17,58.830466666666666
2017-12-18,58.76223333333333
2017-12-19,58.693999999999996
2017-12-20,58.6117
2017-12-21,58.717
2017-12-22,58.5596
2017-12-23,58.3152
2017-12-24,58.27643333333333
2017-12-25,58.23766666666667
2017-12-26,58.1989
2017-12-27,57.7343
2017-12-28,57.4544
2017-12-29,57.6291
2017-12-30,57.6002
2017-12-31,57.58466
2018-01-01,57.56912
2018-01-02,57.553580000000004
2018-01-03,57.53804
2018-01-04,57.5225
2018-01-05,57.25
2018-01-06,57.0175
2018-01-07,57.024699999999996
2018-01-08,57.0319
2018-01-09,57.039100000000005
2018-01-10,57.0463
2018-01-11,56.8734
2018-01-12,56.9957
2018-01-13,56.6019
2018-01-14,56.52023333333334
2018-01-15,56.43856666666667
2018-01-16,56.3569
2018-01-17,56.3878
2018-01-18,56.5925
2018-01-19,56.7597
2018-01-20,56.5892
2018-01-21,56.6015
2018-01-22,56.6138
2018-01-23,56.6261
2018-01-24,56.4115
2018-01-25,56.3888
2018-01-26,55.9288
2018-01-27,55.8288
2018-01-28,55.9828
2018-01-29,56.1368
2018-01-30,56.2908
2018-01-31,56.2914
2018-02-01,56.184
2018-02-02,56.2613
2018-02-03,56.0408
2018-02-04,56.236466666666665
2018-02-05,56.43213333333333
2018-02-06,56.6278
2018-02-07,57.2196
2018-02-08,56.9533
2018-02-09,57.6736
2018-02-10,58.1718
2018-02-11,58.12023333333333
2018-02-12,58.068666666666665
2018-02-13,58.0171
2018-02-14,57.7701
2018-02-15,57.5899
